date,price
2024-09-20,1.003
2024-09-23,1.008
2024-09-24,1.053
2024-09-25,1.067
2024-09-26,1.12
2024-09-27,1.187
2024-09-30,1.306
2024-10-08,1.42
2024-10-09,1.278
2024-10-10,1.256
2024-10-11,1.224
2024-10-14,1.241
2024-10-15,1.208
2024-10-16,1.201
2024-10-17,1.187
2024-10-18,1.23
2024-10-21,1.235
2024-10-22,1.242
2024-10-23,1.246
2024-10-24,1.233
2024-10-25,1.241
2024-10-28,1.243
2024-10-29,1.234
2024-10-30,1.221
2024-10-31,1.222
2024-11-01,1.225
2024-11-04,1.24
2024-11-05,1.271
2024-11-06,1.27
2024-11-07,1.304
2024-11-08,1.29
2024-11-11,1.294
2024-11-12,1.282
2024-11-13,1.289
2024-11-14,1.284
2024-11-15,1.245
2024-11-18,1.242
2024-11-19,1.25
2024-11-20,1.252
2024-11-21,1.253
2024-11-22,1.221
2024-11-25,1.208
2024-11-26,1.207
2024-11-27,1.227
2024-11-28,1.219
2024-11-29,1.232
2024-12-02,1.24
2024-12-03,1.242
2024-12-04,1.236
2024-12-05,1.234
2024-12-06,1.249
2024-12-09,1.25
2024-12-10,1.259
2024-12-11,1.253
2024-12-12,1.269
2024-12-13,1.239
2024-12-16,1.233
2024-12-17,1.236
2024-12-18,1.24
2024-12-19,1.243
2024-12-20,1.24
2024-12-23,1.243
2024-12-24,1.253
2024-12-25,1.256
2024-12-26,1.256
2024-12-27,1.255
2024-12-30,1.26
2024-12-31,1.258
2025-01-02,1.205
2025-01-03,1.197
2025-01-06,1.189
2025-01-07,1.197
2025-01-08,1.195
2025-01-09,1.193
2025-01-10,1.183
2025-01-13,1.175
2025-01-14,1.206
2025-01-15,1.198
2025-01-16,1.2
2025-01-17,1.203
2025-01-20,1.208
2025-01-21,1.21
2025-01-22,1.202
2025-01-23,1.204
2025-01-24,1.216
2025-01-27,1.207
2025-02-05,1.203
2025-02-06,1.216
2025-02-07,1.232
2025-02-10,1.233
2025-02-11,1.23
2025-02-12,1.24
2025-02-13,1.239
2025-02-14,1.246
2025-02-17,1.249
2025-02-18,1.236
2025-02-19,1.246
2025-02-20,1.242
2025-02-21,1.259
2025-02-24,1.254
2025-02-25,1.244
2025-02-26,1.251
2025-02-27,1.257
2025-02-28,1.237
2025-03-03,1.229
2025-03-04,1.231
2025-03-05,1.236
2025-03-06,1.25
2025-03-07,1.247
2025-03-10,1.241
2025-03-11,1.246
2025-03-12,1.244
2025-03-13,1.239
2025-03-14,1.267
2025-03-17,1.265
2025-03-18,1.268
2025-03-19,1.269
2025-03-20,1.259
2025-03-21,1.245
2025-03-24,1.247
2025-03-25,1.245
2025-03-26,1.241
2025-03-27,1.246
2025-03-28,1.24
2025-03-31,1.232
2025-04-01,1.232
2025-04-02,1.232
