date,price
2015-01-26,1.922
2015-01-27,1.921
2015-01-28,1.929
2015-01-29,1.914
2015-01-30,1.908
2015-02-02,1.907
2015-02-03,1.918
2015-02-04,1.923
2015-02-05,1.924
2015-02-06,1.925
2015-02-09,1.916
2015-02-10,1.926
2015-02-11,1.909
2015-02-12,1.915
2015-02-13,1.928
2015-02-16,1.942
2015-02-17,1.941
2015-02-25,1.944
2015-02-26,1.957
2015-02-27,1.962
2015-03-02,1.969
2015-03-03,1.968
2015-03-04,1.955
2015-03-05,1.93
2015-03-06,1.929
2015-03-09,1.924
2015-03-10,1.91
2015-03-11,1.892
2015-03-12,1.899
2015-03-13,1.906
2015-03-16,1.914
2015-03-17,1.912
2015-03-18,1.935
2015-03-19,1.944
2015-03-20,1.941
2015-03-23,1.944
2015-03-24,1.933
2015-03-25,1.944
2015-03-26,1.948
2015-03-27,1.942
2015-03-30,1.982
2015-03-31,1.993
2015-04-01,1.995
2015-04-02,2.016
2015-04-03,2.206
2015-04-07,2.427
2015-04-08,2.67
2015-04-09,2.403
2015-04-10,2.262
2015-04-13,2.194
2015-04-14,2.161
2015-04-15,2.163
2015-04-16,2.162
2015-04-17,2.175
2015-04-20,2.099
2015-04-21,2.162
2015-04-22,2.181
2015-04-23,2.178
2015-04-24,2.156
2015-04-27,2.204
2015-04-28,2.207
2015-04-29,2.216
2015-04-30,2.202
2015-05-04,2.201
2015-05-05,2.161
2015-05-06,2.163
2015-05-07,2.129
2015-05-08,2.169
2015-05-11,2.189
2015-05-12,2.168
2015-05-13,2.149
2015-05-14,2.143
2015-05-15,2.187
2015-05-18,2.164
2015-05-19,2.173
2015-05-20,2.165
2015-05-21,2.164
2015-05-22,2.199
2015-05-25,2.357
2015-05-26,2.25
2015-05-27,2.204
2015-05-28,2.161
2015-05-29,2.171
2015-06-01,2.193
2015-06-02,2.165
2015-06-03,2.18
2015-06-04,2.186
2015-06-05,2.178
2015-06-08,2.174
2015-06-09,2.156
2015-06-10,2.145
2015-06-11,2.137
2015-06-12,2.147
2015-06-15,2.145
2015-06-16,2.112
2015-06-17,2.131
2015-06-18,2.107
2015-06-19,2.11
2015-06-23,2.17
2015-06-24,2.178
2015-06-25,2.165
2015-06-26,2.098
2015-06-29,2.059
2015-06-30,2.106
2015-07-01,2.085
2015-07-02,2.094
2015-07-03,2.081
2015-07-06,2.002
2015-07-07,1.969
2015-07-08,1.772
2015-07-09,1.888
2015-07-10,1.961
2015-07-13,1.97
