date,price
2013-08-20,21964.051
2013-08-21,21817.73
2013-08-22,21895.4
2013-08-23,21863.51
2013-08-26,22005.32
2013-08-27,21874.77
2013-08-28,21532.461
2013-08-29,21704.779
2013-08-30,21731.369
2013-09-02,22175.34
2013-09-03,22402.25
2013-09-04,22332.949
2013-09-05,22597.971
2013-09-06,22621.221
2013-09-09,22750.65
2013-09-10,22976.65
2013-09-11,22937.141
2013-09-12,22963.98
2013-09-13,22911.84
2013-09-16,23252.41
2013-09-17,23189.609
2013-09-18,23117.449
2013-09-19,23502.51
2013-09-23,23371.539
2013-09-24,23173.551
2013-09-25,23209.631
2013-09-26,23125.029
2013-09-27,23195.529
2013-09-30,22859.859
2013-10-02,22984.48
2013-10-03,23214.4
2013-10-04,23130.539
2013-10-07,22973.949
2013-10-08,23178.85
2013-10-09,23033.971
2013-10-10,22951.301
2013-10-11,23204.26
2013-10-15,23328.57
2013-10-16,23228.33
2013-10-17,23095.24
2013-10-18,23340.1
2013-10-21,23438.15
2013-10-22,23315.99
2013-10-23,22999.949
2013-10-24,22835.82
2013-10-25,22698.34
2013-10-28,22806.58
2013-10-29,22846.539
2013-10-30,23304.02
2013-10-31,23206.369
2013-11-01,23249.789
2013-11-04,23189.619
2013-11-05,23038.949
2013-11-06,23036.939
2013-11-07,22881.029
2013-11-08,22744.391
2013-11-11,23069.85
2013-11-12,22901.41
2013-11-13,22463.83
2013-11-14,22649.15
2013-11-15,23032.15
2013-11-18,23660.061
2013-11-19,23657.811
2013-11-20,23700.859
2013-11-21,23580.289
2013-11-22,23696.279
2013-11-25,23684.449
2013-11-26,23681.279
2013-11-27,23806.35
2013-11-28,23789.09
2013-11-29,23881.289
2013-12-02,24038.551
2013-12-03,23910.471
2013-12-04,23728.699
2013-12-05,23712.57
2013-12-06,23743.1
2013-12-09,23811.17
2013-12-10,23744.189
2013-12-11,23338.24
2013-12-12,23218.119
2013-12-13,23245.961
2013-12-16,23114.66
2013-12-17,23069.23
2013-12-18,23143.82
2013-12-19,22888.75
2013-12-20,22812.18
2013-12-23,22921.561
2013-12-24,23179.551
2013-12-27,23243.24
2013-12-30,23244.869
2013-12-31,23306.391
2014-01-02,23340.051
2014-01-03,22817.279
2014-01-06,22684.15
2014-01-07,22712.779
2014-01-08,22996.59
2014-01-09,22787.33
2014-01-10,22846.25
2014-01-13,22888.76
2014-01-14,22791.279
2014-01-15,22902.0
2014-01-16,22986.41
2014-01-17,23142.471
2014-01-20,22928.949
2014-01-21,23033.119
2014-01-22,23078.961
2014-01-23,22733.9
2014-01-24,22450.061
2014-01-27,21976.1
2014-01-28,21960.641
2014-01-29,22141.609
2014-01-30,22035.42
2014-02-04,21397.77
2014-02-05,21269.381
2014-02-06,21423.131
2014-02-07,21643.641
2014-02-10,21579.26
2014-02-11,21956.43
2014-02-12,22285.789
2014-02-13,22165.529
2014-02-14,22298.41
2014-02-17,22535.939
2014-02-18,22587.721
2014-02-19,22664.52
2014-02-20,22394.08
2014-02-21,22568.24
2014-02-24,22388.561
2014-02-25,22314.84
2014-02-26,22437.439
2014-02-27,22828.18
2014-02-28,22836.961
2014-03-03,22500.67
2014-03-04,22657.631
2014-03-05,22586.439
2014-03-06,22702.971
2014-03-07,22660.49
2014-03-10,22264.93
2014-03-11,22292.26
2014-03-12,21901.02
2014-03-13,21769.73
2014-03-14,21539.49
2014-03-17,21473.949
2014-03-18,21583.5
2014-03-19,21568.689
2014-03-20,21182.16
2014-03-21,21436.699
2014-03-24,21846.449
2014-03-25,21732.32
2014-03-26,21906.381
2014-03-27,21832.551
2014-03-28,22065.529
2014-03-31,22151.061
2014-04-01,22448.539
2014-04-02,22523.939
2014-04-03,22567.529
2014-04-04,22510.08
2014-04-07,22377.15
2014-04-08,22602.779
2014-04-09,22843.17
2014-04-10,23186.961
2014-04-11,23014.699
2014-04-14,23038.801
2014-04-15,22671.26
2014-04-16,22696.01
2014-04-17,22763.34
2014-04-22,22730.68
2014-04-23,22509.641
2014-04-24,22562.801
2014-04-25,22223.529
2014-04-28,22132.529
2014-04-29,22453.891
2014-04-30,22133.971
2014-05-02,22257.391
2014-05-05,21971.99
2014-05-07,21746.26
2014-05-08,21837.85
2014-05-09,21862.99
2014-05-12,22261.57
2014-05-13,22352.381
2014-05-14,22582.77
2014-05-15,22721.439
2014-05-16,22712.91
2014-05-19,22704.5
2014-05-20,22834.68
2014-05-21,22813.109
2014-05-22,22953.76
2014-05-23,22965.859
2014-05-26,22961.119
2014-05-27,22960.949
2014-05-28,23080.029
2014-05-29,23016.039
2014-05-30,23049.02
2014-06-03,23291.039
2014-06-04,23163.34
2014-06-05,23109.66
2014-06-06,22951.0
2014-06-09,23117.471
2014-06-10,23315.74
2014-06-11,23257.289
2014-06-12,23175.02
2014-06-13,23319.17
2014-06-16,23300.67
2014-06-17,23203.59
2014-06-18,23195.32
2014-06-19,23167.73
2014-06-20,23194.061
2014-06-23,22804.811
2014-06-24,22880.641
2014-06-25,22866.699
2014-06-26,23197.83
2014-06-27,23221.52
2014-06-30,23190.721
2014-07-02,23549.619
2014-07-03,23531.439
2014-07-04,23546.359
2014-07-07,23540.92
2014-07-08,23541.381
2014-07-09,23176.07
2014-07-10,23238.99
2014-07-11,23233.52
2014-07-14,23346.67
2014-07-15,23459.961
2014-07-16,23523.279
2014-07-17,23520.869
2014-07-18,23454.789
2014-07-21,23387.141
2014-07-22,23782.109
2014-07-23,23971.869
2014-07-24,24141.5
2014-07-25,24217.42
2014-07-28,24428.631
2014-07-29,24640.529
2014-07-30,24732.211
2014-07-31,24756.85
2014-08-01,24542.02
2014-08-04,24600.08
2014-08-05,24648.26
2014-08-06,24584.131
2014-08-07,24387.561
2014-08-08,24331.41
2014-08-11,24648.711
2014-08-12,24689.41
2014-08-13,24890.34
2014-08-14,24801.359
2014-08-15,24975.33
2014-08-18,24944.439
2014-08-19,25137.131
2014-08-20,25159.76
2014-08-21,24994.1
2014-08-22,25112.23
2014-08-25,25164.07
2014-08-26,25075.57
2014-08-27,24918.75
2014-08-28,24741.0
2014-08-29,24742.061
2014-09-01,24696.18
2014-09-02,24749.02
2014-09-03,25317.949
2014-09-04,25297.92
2014-09-05,25240.15
2014-09-08,25190.449
2014-09-10,24705.359
2014-09-11,24662.641
2014-09-12,24595.32
2014-09-15,24356.99
2014-09-16,24136.01
2014-09-17,24376.41
2014-09-18,24175.801
2014-09-19,24306.16
2014-09-22,23955.49
2014-09-23,23837.07
2014-09-24,23921.609
2014-09-25,23768.131
2014-09-26,23678.41
2014-09-29,23229.211
2014-09-30,22932.98
2014-10-03,23064.561
2014-10-06,23315.039
2014-10-07,23422.52
2014-10-08,23263.33
2014-10-09,23534.529
2014-10-10,23088.539
2014-10-13,23143.381
2014-10-14,23047.971
2014-10-15,23140.051
2014-10-16,22900.939
2014-10-17,23023.211
2014-10-20,23070.26
2014-10-21,23088.58
2014-10-22,23403.971
2014-10-23,23333.18
2014-10-24,23302.199
2014-10-27,23143.23
2014-10-28,23520.359
2014-10-29,23819.869
2014-10-30,23702.039
2014-10-31,23998.061
2014-11-03,23915.971
2014-11-04,23845.66
2014-11-05,23695.619
2014-11-06,23649.311
2014-11-07,23550.24
2014-11-10,23744.699
2014-11-11,23808.279
2014-11-12,23938.18
2014-11-13,24019.939
2014-11-14,24087.381
2014-11-17,23797.08
2014-11-18,23529.17
2014-11-19,23373.311
2014-11-20,23349.641
2014-11-21,23437.119
2014-11-24,23893.141
2014-11-25,23843.91
2014-11-26,24111.98
2014-11-27,24004.279
2014-11-28,23987.449
2014-12-01,23367.449
2014-12-02,23654.301
2014-12-03,23428.619
2014-12-04,23832.561
2014-12-05,24002.641
2014-12-08,24047.67
2014-12-09,23485.83
2014-12-10,23524.52
2014-12-11,23312.539
2014-12-12,23249.199
2014-12-15,23027.85
2014-12-16,22670.5
2014-12-17,22585.84
2014-12-18,22832.211
2014-12-19,23116.631
2014-12-22,23408.57
2014-12-23,23333.689
2014-12-24,23349.34
2014-12-29,23773.18
2014-12-30,23501.1
2014-12-31,23605.039
2015-01-02,23857.82
2015-01-05,23721.32
2015-01-06,23485.41
2015-01-07,23681.26
2015-01-08,23835.529
2015-01-09,23919.949
2015-01-12,24026.461
2015-01-13,24215.971
2015-01-14,24112.6
2015-01-15,24350.91
2015-01-16,24103.52
2015-01-19,23738.49
2015-01-20,23951.16
2015-01-21,24352.58
2015-01-22,24522.631
2015-01-23,24850.449
2015-01-26,24909.9
2015-01-27,24807.279
2015-01-28,24861.811
2015-01-29,24595.85
2015-01-30,24507.051
2015-02-02,24484.74
2015-02-03,24554.779
2015-02-04,24679.76
2015-02-05,24765.49
2015-02-06,24679.391
2015-02-09,24521.0
2015-02-10,24528.1
2015-02-11,24315.02
2015-02-12,24422.15
2015-02-13,24682.539
2015-02-16,24726.529
2015-02-17,24784.881
2015-02-18,24832.08
2015-02-23,24836.76
2015-02-24,24750.07
2015-02-25,24778.279
2015-02-26,24902.061
2015-02-27,24823.289
2015-03-02,24887.439
2015-03-03,24702.779
2015-03-04,24465.381
2015-03-05,24193.039
2015-03-06,24164.0
2015-03-09,24123.051
2015-03-10,23896.98
2015-03-11,23717.971
2015-03-12,23797.961
2015-03-13,23823.211
2015-03-16,23949.551
2015-03-17,23901.49
2015-03-18,24120.08
2015-03-19,24468.889
2015-03-20,24375.24
2015-03-23,24494.51
2015-03-24,24399.6
2015-03-25,24528.23
2015-03-26,24497.08
2015-03-27,24486.199
2015-03-30,24855.119
2015-03-31,24900.889
2015-04-01,25082.75
