date,price
2011-03-25,2.965
2011-03-28,2.965
2011-03-29,2.936
2011-03-30,2.94
2011-03-31,2.918
2011-04-01,2.955
2011-04-06,2.987
2011-04-07,2.987
2011-04-08,3.016
2011-04-11,3.005
2011-04-12,3.004
2011-04-13,3.035
2011-04-14,3.029
2011-04-15,3.035
2011-04-18,3.04
2011-04-19,2.983
2011-04-20,3.0
2011-04-21,3.012
2011-04-22,3.001
2011-04-25,2.963
2011-04-26,2.934
2011-04-27,2.928
2011-04-28,2.891
2011-04-29,2.905
2011-05-03,2.929
2011-05-04,2.855
2011-05-05,2.863
2011-05-06,2.855
2011-05-09,2.859
2011-05-10,2.867
2011-05-11,2.868
2011-05-12,2.84
2011-05-13,2.86
2011-05-16,2.845
2011-05-17,2.845
2011-05-18,2.865
2011-05-19,2.853
2011-05-20,2.855
2011-05-23,2.773
2011-05-24,2.771
2011-05-25,2.741
2011-05-26,2.739
2011-05-27,2.714
2011-05-30,2.707
2011-05-31,2.74
2011-06-01,2.74
2011-06-02,2.705
2011-06-03,2.72
2011-06-07,2.74
2011-06-08,2.752
2011-06-09,2.709
2011-06-10,2.713
2011-06-13,2.682
2011-06-14,2.734
2011-06-15,2.718
2011-06-16,2.673
2011-06-17,2.651
2011-06-20,2.635
2011-06-21,2.657
2011-06-22,2.661
2011-06-23,2.702
2011-06-24,2.758
2011-06-27,2.761
2011-06-28,2.768
2011-06-29,2.74
2011-06-30,2.767
2011-07-01,2.773
2011-07-04,2.825
2011-07-05,2.823
2011-07-06,2.826
2011-07-07,2.826
2011-07-08,2.814
2011-07-11,2.814
2011-07-12,2.768
2011-07-13,2.812
2011-07-14,2.833
2011-07-15,2.83
2011-07-18,2.84
2011-07-19,2.808
2011-07-20,2.808
2011-07-21,2.789
2011-07-22,2.792
2011-07-25,2.703
2011-07-26,2.712
2011-07-27,2.742
2011-07-28,2.735
2011-07-29,2.715
2011-08-01,2.71
2011-08-02,2.702
2011-08-03,2.688
2011-08-04,2.7
2011-08-05,2.651
2011-08-08,2.545
2011-08-09,2.541
2011-08-10,2.56
2011-08-11,2.59
2011-08-12,2.6
2011-08-15,2.645
2011-08-16,2.633
2011-08-17,2.606
2011-08-18,2.578
2011-08-19,2.559
2011-08-22,2.53
2011-08-23,2.562
2011-08-24,2.561
2011-08-25,2.625
2011-08-26,2.62
2011-08-29,2.582
2011-08-30,2.583
2011-08-31,2.58
2011-09-01,2.571
2011-09-02,2.552
2011-09-05,2.492
2011-09-06,2.489
2011-09-07,2.53
2011-09-08,2.517
2011-09-09,2.514
2011-09-13,2.48
2011-09-14,2.497
2011-09-15,2.49
2011-09-16,2.492
2011-09-19,2.459
2011-09-20,2.461
2011-09-21,2.5
2011-09-22,2.467
2011-09-23,2.447
2011-09-26,2.401
2011-09-27,2.434
2011-09-28,2.4
2011-09-29,2.387
2011-09-30,2.378
2011-10-10,2.35
2011-10-11,2.364
2011-10-12,2.412
2011-10-13,2.448
2011-10-14,2.445
2011-10-17,2.451
2011-10-18,2.39
2011-10-19,2.38
2011-10-20,2.331
2011-10-21,2.336
2011-10-24,2.339
2011-10-25,2.426
2011-10-26,2.454
2011-10-27,2.451
2011-10-28,2.481
2011-10-31,2.47
2011-11-01,2.489
2011-11-02,2.52
2011-11-03,2.53
2011-11-04,2.533
2011-11-07,2.521
2011-11-08,2.52
2011-11-09,2.536
2011-11-10,2.501
2011-11-11,2.502
2011-11-14,2.548
2011-11-15,2.545
2011-11-16,2.479
2011-11-17,2.471
2011-11-18,2.426
2011-11-21,2.415
2011-11-22,2.419
2011-11-23,2.41
2011-11-24,2.41
2011-11-25,2.394
2011-11-28,2.399
2011-11-29,2.415
2011-11-30,2.346
2011-12-01,2.425
2011-12-02,2.376
2011-12-05,2.429
2011-12-06,2.349
2011-12-07,2.355
2011-12-08,2.349
2011-12-09,2.338
2011-12-12,2.323
2011-12-13,2.268
2011-12-14,2.248
2011-12-15,2.211
2011-12-16,2.23
2011-12-19,2.239
2011-12-20,2.23
2011-12-21,2.204
2011-12-22,2.185
2011-12-23,2.2
2011-12-26,2.198
2011-12-27,2.175
2011-12-28,2.19
2011-12-29,2.196
2011-12-30,2.225
2012-01-04,2.2
2012-01-05,2.157
2012-01-06,2.173
2012-01-09,2.235
2012-01-10,2.303
2012-01-11,2.298
2012-01-12,2.3
2012-01-13,2.276
2012-01-16,2.22
2012-01-17,2.301
2012-01-18,2.262
