date,price
2010-02-02,1.191
2010-02-03,1.232
2010-02-04,1.214
2010-02-05,1.193
2010-02-08,1.196
2010-02-09,1.197
2010-02-10,1.219
2010-02-11,1.224
2010-02-12,1.23
2010-02-22,1.221
2010-02-23,1.205
2010-02-24,1.231
2010-02-25,1.249
2010-02-26,1.244
2010-03-01,1.257
2010-03-02,1.257
2010-03-03,1.261
2010-03-04,1.232
2010-03-05,1.233
2010-03-08,1.242
2010-03-09,1.252
2010-03-10,1.238
2010-03-11,1.238
2010-03-12,1.219
2010-03-15,1.192
2010-03-16,1.197
2010-03-17,1.221
2010-03-18,1.223
2010-03-19,1.236
2010-03-22,1.235
2010-03-23,1.227
2010-03-24,1.226
2010-03-25,1.207
2010-03-26,1.223
2010-03-29,1.255
2010-03-30,1.258
2010-03-31,1.248
2010-04-01,1.266
2010-04-02,1.276
2010-04-06,1.269
2010-04-07,1.26
2010-04-08,1.245
2010-04-09,1.255
2010-04-12,1.238
2010-04-13,1.247
2010-04-14,1.253
2010-04-15,1.249
2010-04-16,1.237
2010-04-19,1.166
2010-04-20,1.151
2010-04-21,1.175
2010-04-22,1.166
2010-04-23,1.167
2010-04-26,1.159
2010-04-27,1.135
2010-04-28,1.133
2010-04-29,1.119
2010-04-30,1.113
2010-05-04,1.094
2010-05-05,1.099
2010-05-06,1.055
2010-05-07,1.015
2010-05-10,1.025
2010-05-11,1.009
2010-05-12,1.012
2010-05-13,1.041
2010-05-14,1.032
2010-05-17,0.976
2010-05-18,1.0
2010-05-19,0.999
2010-05-20,0.997
2010-05-21,1.022
2010-05-24,1.064
2010-05-25,1.038
2010-05-26,1.035
2010-05-27,1.054
2010-05-28,1.051
2010-05-31,1.029
2010-06-01,1.009
2010-06-02,1.019
2010-06-03,1.014
2010-06-04,1.019
2010-06-07,1.002
2010-06-08,1.005
2010-06-09,1.037
2010-06-10,1.026
2010-06-11,1.026
2010-06-17,1.018
2010-06-18,1.001
2010-06-21,1.034
2010-06-22,1.036
2010-06-23,1.026
2010-06-24,1.026
2010-06-25,1.014
2010-06-28,1.002
2010-06-29,0.956
2010-06-30,0.942
2010-07-01,0.924
2010-07-02,0.925
2010-07-05,0.917
2010-07-06,0.936
2010-07-07,0.948
2010-07-08,0.947
2010-07-09,0.985
2010-07-12,0.997
2010-07-13,0.981
2010-07-14,0.983
2010-07-15,0.973
2010-07-16,0.986
2010-07-19,1.012
2010-07-20,1.038
2010-07-21,1.036
2010-07-22,1.057
2010-07-23,1.059
2010-07-26,1.063
2010-07-27,1.063
2010-07-28,1.09
2010-07-29,1.096
2010-07-30,1.09
2010-08-02,1.117
2010-08-03,1.093
2010-08-04,1.104
2010-08-05,1.088
2010-08-06,1.109
2010-08-09,1.109
2010-08-10,1.077
2010-08-11,1.087
2010-08-12,1.076
2010-08-13,1.096
2010-08-16,1.123
2010-08-17,1.137
2010-08-18,1.135
2010-08-19,1.14
2010-08-20,1.116
2010-08-23,1.113
2010-08-24,1.127
2010-08-25,1.104
2010-08-26,1.108
2010-08-27,1.11
2010-08-30,1.137
2010-08-31,1.141
2010-09-01,1.136
2010-09-02,1.153
2010-09-03,1.151
2010-09-06,1.174
2010-09-07,1.174
2010-09-08,1.178
2010-09-09,1.153
2010-09-10,1.157
2010-09-13,1.174
2010-09-14,1.174
2010-09-15,1.147
2010-09-16,1.12
2010-09-17,1.126
2010-09-20,1.123
2010-09-21,1.128
2010-09-27,1.146
2010-09-28,1.134
2010-09-29,1.128
2010-09-30,1.154
2010-10-08,1.2
2010-10-11,1.229
2010-10-12,1.241
2010-10-13,1.267
2010-10-14,1.253
2010-10-15,1.278
2010-10-18,1.267
2010-10-19,1.301
2010-10-20,1.317
2010-10-21,1.316
2010-10-22,1.331
2010-10-25,1.379
2010-10-26,1.377
2010-10-27,1.352
2010-10-28,1.351
2010-10-29,1.342
2010-11-01,1.38
2010-11-02,1.37
2010-11-03,1.344
2010-11-04,1.365
2010-11-05,1.377
2010-11-08,1.384
2010-11-09,1.373
2010-11-10,1.373
2010-11-11,1.375
2010-11-12,1.275
2010-11-15,1.285
2010-11-16,1.223
2010-11-17,1.207
2010-11-18,1.218
2010-11-19,1.25
2010-11-22,1.237
2010-11-23,1.213
2010-11-24,1.246
2010-11-25,1.266
2010-11-26,1.266
2010-11-29,1.255
2010-11-30,1.24
2010-12-01,1.235
2010-12-02,1.248
2010-12-03,1.257
2010-12-06,1.26
2010-12-07,1.282
2010-12-08,1.276
2010-12-09,1.253
2010-12-10,1.265
2010-12-13,1.315
2010-12-14,1.315
2010-12-15,1.303
2010-12-16,1.303
2010-12-17,1.294
2010-12-20,1.274
2010-12-21,1.306
2010-12-22,1.296
2010-12-23,1.281
2010-12-24,1.273
2010-12-27,1.248
2010-12-28,1.223
2010-12-29,1.231
2010-12-30,1.234
2010-12-31,1.262
2011-01-04,1.287
2011-01-05,1.278
2011-01-06,1.278
2011-01-07,1.276
2011-01-10,1.249
2011-01-11,1.254
2011-01-12,1.257
2011-01-13,1.259
2011-01-14,1.241
2011-01-17,1.191
2011-01-18,1.193
2011-01-19,1.222
2011-01-20,1.178
2011-01-21,1.18
2011-01-24,1.166
2011-01-25,1.16
2011-01-26,1.18
2011-01-27,1.195
2011-01-28,1.201
2011-01-31,1.215
2011-02-01,1.215
2011-02-09,1.197
2011-02-10,1.235
2011-02-11,1.247
2011-02-14,1.291
2011-02-15,1.287
2011-02-16,1.303
2011-02-17,1.295
2011-02-18,1.279
2011-02-21,1.303
2011-02-22,1.265
2011-02-23,1.264
2011-02-24,1.271
2011-02-25,1.279
2011-02-28,1.305
2011-03-01,1.313
2011-03-02,1.302
2011-03-03,1.285
2011-03-04,1.306
2011-03-07,1.328
2011-03-08,1.33
2011-03-09,1.331
2011-03-10,1.315
2011-03-11,1.296
2011-03-14,1.311
2011-03-15,1.29
2011-03-16,1.302
2011-03-17,1.278
2011-03-18,1.286
2011-03-21,1.274
2011-03-22,1.276
2011-03-23,1.29
2011-03-24,1.285
2011-03-25,1.307
2011-03-28,1.293
2011-03-29,1.272
2011-03-30,1.275
2011-03-31,1.263
2011-04-01,1.277
2011-04-06,1.279
2011-04-07,1.297
2011-04-08,1.31
2011-04-11,1.3
2011-04-12,1.299
2011-04-13,1.316
2011-04-14,1.306
2011-04-15,1.304
2011-04-18,1.306
2011-04-19,1.285
2011-04-20,1.288
2011-04-21,1.293
2011-04-22,1.285
2011-04-25,1.266
2011-04-26,1.258
2011-04-27,1.25
2011-04-28,1.227
2011-04-29,1.247
2011-05-03,1.256
2011-05-04,1.222
2011-05-05,1.224
2011-05-06,1.222
2011-05-09,1.226
2011-05-10,1.236
2011-05-11,1.233
2011-05-12,1.223
2011-05-13,1.231
2011-05-16,1.219
2011-05-17,1.227
2011-05-18,1.24
2011-05-19,1.231
2011-05-20,1.233
2011-05-23,1.191
2011-05-24,1.19
2011-05-25,1.176
2011-05-26,1.171
2011-05-27,1.168
2011-05-30,1.167
2011-05-31,1.183
2011-06-01,1.186
2011-06-02,1.169
2011-06-03,1.181
2011-06-07,1.19
2011-06-08,1.193
2011-06-09,1.173
2011-06-10,1.178
2011-06-13,1.171
2011-06-14,1.193
2011-06-15,1.18
2011-06-16,1.164
2011-06-17,1.163
2011-06-20,1.153
2011-06-21,1.17
2011-06-22,1.174
2011-06-23,1.198
2011-06-24,1.221
2011-06-27,1.22
2011-06-28,1.224
2011-06-29,1.211
2011-06-30,1.229
2011-07-01,1.239
2011-07-04,1.261
2011-07-05,1.263
2011-07-06,1.262
2011-07-07,1.255
2011-07-08,1.263
2011-07-11,1.267
2011-07-12,1.25
2011-07-13,1.27
2011-07-14,1.265
2011-07-15,1.272
2011-07-18,1.271
2011-07-19,1.259
2011-07-20,1.259
2011-07-21,1.254
2011-07-22,1.256
2011-07-25,1.214
2011-07-26,1.221
2011-07-27,1.231
2011-07-28,1.228
2011-07-29,1.223
2011-08-01,1.222
2011-08-02,1.212
2011-08-03,1.213
2011-08-04,1.216
2011-08-05,1.188
2011-08-08,1.152
2011-08-09,1.156
2011-08-10,1.167
2011-08-11,1.183
2011-08-12,1.184
2011-08-15,1.197
2011-08-16,1.186
2011-08-17,1.181
2011-08-18,1.161
2011-08-19,1.148
2011-08-22,1.132
2011-08-23,1.144
2011-08-24,1.145
2011-08-25,1.181
